0,1,2,3,4,5,6,7,8,9
0.641829,0.643669,0.644472,0.645165,0.645752,0.646293,0.646711,0.647032,0.647301,0.647391
0.639175,0.640869,0.641664,0.642365,0.642962,0.643514,0.643962,0.644329,0.644653,0.644803
0.628332,0.63004,0.630858,0.631627,0.632307,0.632936,0.633463,0.633913,0.634332,0.634584
0.616708,0.618078,0.618476,0.61884,0.619142,0.619386,0.619545,0.619636,0.619701,0.619635
0.612837,0.613644,0.613347,0.613013,0.612662,0.612281,0.611834,0.611331,0.610807,0.610212
0.620332,0.621068,0.62075,0.620389,0.620014,0.619576,0.619066,0.618492,0.617884,0.617182
0.630443,0.631285,0.631133,0.630893,0.630606,0.630259,0.629827,0.629318,0.628774,0.6281
0.639159,0.639962,0.639781,0.63943,0.639011,0.63855,0.638019,0.637421,0.63681,0.636049
0.646292,0.646873,0.646439,0.645763,0.645029,0.644344,0.643705,0.64303,0.642381,0.641561
0.647036,0.647527,0.647117,0.646432,0.645776,0.645088,0.644493,0.643828,0.643138,0.642368
0.643571,0.644452,0.64485,0.644968,0.644668,0.644295,0.643771,0.643111,0.642443,0.641641
0.63726,0.63843,0.639264,0.640039,0.640502,0.640775,0.640821,0.640758,0.64051,0.640036
0.626904,0.628108,0.628689,0.629214,0.629578,0.629896,0.630074,0.630157,0.630175,0.629975
0.608965,0.61021,0.610848,0.611435,0.611825,0.612158,0.612352,0.612451,0.612489,0.612328
0.584919,0.586119,0.586734,0.587308,0.587664,0.58796,0.58812,0.588186,0.588188,0.587989
0.558926,0.559975,0.560441,0.560872,0.561079,0.561225,0.56125,0.561192,0.561079,0.560787
0.534779,0.535804,0.536288,0.536726,0.536915,0.537038,0.537038,0.536958,0.536828,0.536514
0.507101,0.508314,0.509055,0.509847,0.510356,0.510758,0.51099,0.511113,0.511166,0.511014
0.475376,0.476759,0.477655,0.478671,0.479436,0.48009,0.480564,0.480922,0.481206,0.481293
0.467,0.465636,0.464878,0.464191,0.463649,0.463179,0.462851,0.462626,0.462462,0.462453
0.467576,0.466816,0.466764,0.466613,0.466533,0.466606,0.466838,0.467193,0.467597,0.468108
0.483123,0.483076,0.481877,0.481118,0.480353,0.479395,0.478258,0.476986,0.47561,0.474169
0.545139,0.54482,0.5431,0.541894,0.540724,0.539269,0.537561,0.53568,0.533689,0.531618
0.626898,0.626536,0.624792,0.623357,0.62194,0.620311,0.618497,0.616581,0.614507,0.612333
0.682024,0.682315,0.681843,0.681527,0.681066,0.680427,0.679536,0.678467,0.677256,0.675844
0.699941,0.700654,0.70128,0.701921,0.702065,0.701947,0.701622,0.701038,0.700337,0.699415
0.704978,0.70552,0.706046,0.706638,0.706933,0.707167,0.707176,0.707052,0.706847,0.706428
0.683182,0.684419,0.685725,0.687109,0.688264,0.689355,0.690221,0.691073,0.691815,0.692264
0.665823,0.666809,0.667358,0.667882,0.66829,0.668691,0.668978,0.669201,0.669376,0.669379
0.645267,0.646739,0.647979,0.649227,0.650234,0.651195,0.651981,0.652664,0.653307,0.653654
0.618328,0.619418,0.620019,0.620595,0.62103,0.621429,0.62171,0.621915,0.622083,0.622049
0.593972,0.595021,0.595481,0.596009,0.596329,0.596587,0.596686,0.59668,0.596646,0.59635
0.552531,0.553657,0.554046,0.554554,0.554897,0.555184,0.55537,0.55549,0.555589,0.555465
0.524398,0.525444,0.525572,0.525752,0.525812,0.52581,0.525701,0.525517,0.52531,0.5249
0.507705,0.508353,0.508116,0.507935,0.507728,0.507494,0.507178,0.506808,0.506415,0.505844
0.485724,0.485892,0.485305,0.484804,0.484141,0.483437,0.482611,0.481706,0.480771,0.479609
0.466682,0.46719,0.467978,0.468688,0.469608,0.47057,0.471676,0.472866,0.474074,0.475474
0.502077,0.503208,0.504506,0.505681,0.506995,0.50834,0.509763,0.511231,0.5127,0.514264
0.536613,0.537886,0.539201,0.540396,0.541641,0.542906,0.544195,0.545492,0.546779,0.548096
0.558768,0.560049,0.561442,0.562845,0.564252,0.565692,0.567155,0.568618,0.570068,0.571489
0.559743,0.560453,0.561699,0.563127,0.564661,0.566309,0.56802,0.56974,0.57145,0.573103
0.547838,0.547675,0.548365,0.549311,0.550416,0.551668,0.553006,0.554369,0.55573,0.557082
0.534864,0.533508,0.533344,0.533569,0.534027,0.534651,0.535417,0.536246,0.537096,0.538005
0.527871,0.526643,0.526609,0.526846,0.527212,0.527684,0.528298,0.529,0.529756,0.530605
0.530573,0.529506,0.529494,0.529644,0.52996,0.530347,0.530861,0.531474,0.532159,0.532991
0.532754,0.531789,0.533056,0.534219,0.535256,0.536456,0.537733,0.53906,0.54049,0.542017
0.612433,0.605792,0.599047,0.593281,0.587629,0.58182,0.575983,0.570039,0.564023,0.558064
0.673948,0.664483,0.660831,0.658339,0.655762,0.653279,0.650802,0.648292,0.645806,0.643241
0.666742,0.653168,0.649783,0.647731,0.645568,0.643541,0.641467,0.639329,0.637217,0.634993
0.647101,0.633096,0.629851,0.627868,0.625867,0.624011,0.62211,0.620167,0.618235,0.616324
0.649904,0.637208,0.634352,0.632432,0.630657,0.62903,0.62746,0.625939,0.624425,0.623205
0.690791,0.680765,0.680181,0.680341,0.680659,0.681145,0.681652,0.682201,0.682744,0.683472
0.720237,0.710331,0.709847,0.709961,0.710043,0.710304,0.71044,0.710524,0.710604,0.710685
0.717724,0.708278,0.707255,0.706826,0.706384,0.706095,0.705706,0.705299,0.704873,0.704518
0.716532,0.708187,0.706843,0.706008,0.705171,0.704466,0.703712,0.702957,0.702206,0.701563
0.702174,0.695628,0.694758,0.694217,0.693691,0.693272,0.692824,0.692382,0.691931,0.691533
0.688171,0.684921,0.684847,0.684916,0.684984,0.685116,0.685218,0.685321,0.685433,0.685534
0.690071,0.688067,0.688229,0.688432,0.688715,0.689149,0.689543,0.689924,0.690304,0.690625
0.695835,0.694772,0.694927,0.69506,0.695142,0.695262,0.695338,0.69539,0.695432,0.69541
0.699205,0.697432,0.697207,0.697046,0.696835,0.696666,0.69644,0.696174,0.695896,0.695527
0.701549,0.698381,0.697659,0.69711,0.69646,0.695849,0.695126,0.694326,0.693512,0.692556
0.700368,0.695872,0.694445,0.69334,0.692245,0.691196,0.690119,0.689025,0.687921,0.686852
0.694274,0.690126,0.689026,0.688241,0.687538,0.686875,0.686225,0.685581,0.684929,0.684342
0.69359,0.690914,0.690461,0.690199,0.689959,0.689755,0.689529,0.689294,0.689052,0.688814
0.697613,0.695688,0.695435,0.695267,0.695075,0.694912,0.694703,0.694468,0.694231,0.693957
0.699566,0.69824,0.697992,0.697747,0.697483,0.697245,0.696973,0.696685,0.696394,0.696096
0.706668,0.704206,0.704004,0.703898,0.70378,0.703705,0.703594,0.703469,0.703348,0.703212
0.71796,0.714236,0.71376,0.713444,0.713101,0.712813,0.712457,0.712071,0.711676,0.711259
0.716965,0.713864,0.71335,0.712952,0.712515,0.712116,0.711666,0.711196,0.710724,0.710236
0.707369,0.705958,0.705425,0.704886,0.704334,0.703799,0.703255,0.702716,0.702176,0.701674
0.703966,0.704422,0.704003,0.703472,0.702951,0.702424,0.701903,0.701391,0.700872,0.700386
0.697984,0.701062,0.700985,0.700668,0.70035,0.699989,0.699647,0.699314,0.698978,0.698648
0.689612,0.69524,0.695288,0.694932,0.694589,0.694152,0.693782,0.693441,0.6931,0.692802
0.689571,0.695153,0.694973,0.694433,0.693941,0.693357,0.692852,0.692385,0.691928,0.691517
0.691572,0.696503,0.696452,0.696092,0.695769,0.695358,0.695018,0.694711,0.694413,0.694159
0.695814,0.699145,0.699216,0.699069,0.698961,0.698799,0.698697,0.698628,0.698569,0.698543
0.704657,0.705974,0.706138,0.706159,0.706182,0.706186,0.706199,0.706225,0.706264,0.706303
0.709333,0.709688,0.709827,0.709869,0.709898,0.709924,0.709964,0.710022,0.710098,0.710214
0.710067,0.710117,0.71023,0.710281,0.710364,0.710458,0.7106,0.710784,0.710981,0.711262
0.723146,0.722499,0.722492,0.722452,0.722425,0.722417,0.722419,0.722441,0.72247,0.722557
0.736463,0.735279,0.735368,0.735424,0.735474,0.735554,0.735638,0.735746,0.735867,0.736052
0.745523,0.744272,0.744774,0.745294,0.745805,0.746351,0.746893,0.747453,0.748026,0.748621
0.752736,0.75111,0.751785,0.752479,0.753129,0.753822,0.754497,0.755187,0.755896,0.756631
0.75559,0.753464,0.753766,0.754114,0.754427,0.754792,0.755146,0.755518,0.755906,0.756354
0.73514,0.73297,0.733417,0.733921,0.734395,0.734929,0.735502,0.736129,0.736791,0.737557
0.719569,0.717637,0.718163,0.718795,0.719615,0.720552,0.721614,0.722774,0.723958,0.725379
0.714746,0.714065,0.7159,0.717755,0.719483,0.721272,0.72304,0.72482,0.726611,0.728368
0.69001,0.688343,0.689663,0.690868,0.691829,0.692864,0.693881,0.694936,0.696027,0.697106
0.643006,0.640353,0.640822,0.641083,0.641191,0.641442,0.641771,0.642195,0.64266,0.643168
0.607263,0.605561,0.605775,0.605931,0.606075,0.606297,0.606565,0.606873,0.607192,0.607483
0.5898,0.589278,0.589323,0.589388,0.589483,0.589589,0.589689,0.589771,0.589829,0.589859
0.576842,0.576723,0.576857,0.577005,0.577175,0.577331,0.577472,0.57759,0.577674,0.577757
0.572258,0.570518,0.57061,0.570804,0.571041,0.57135,0.571651,0.57192,0.572147,0.572347
0.585848,0.58287,0.582526,0.582226,0.581985,0.5818,0.581653,0.58155,0.581488,0.581538
0.588902,0.585296,0.584247,0.583319,0.582477,0.581703,0.580988,0.580341,0.579755,0.579342
0.578749,0.575064,0.573734,0.572524,0.57141,0.570351,0.56938,0.568493,0.567661,0.567067
0.564844,0.561421,0.560223,0.559152,0.558313,0.557543,0.556911,0.556388,0.555919,0.55573
0.552331,0.549828,0.549211,0.548726,0.548399,0.548145,0.548082,0.548173,0.548338,0.548846
0.553446,0.551356,0.551061,0.550865,0.550757,0.550709,0.550778,0.550951,0.551187,0.551636
