0,1,2,3,4,5,6,7,8,9
9.3742,9.3986,9.4061,9.412,9.4172,9.4217,9.4255,9.4285,9.431,9.4323
9.3399,9.3614,9.3677,9.3729,9.3774,9.3813,9.3847,9.3876,9.3901,9.3918
9.2602,9.281,9.2871,9.2923,9.2972,9.3015,9.3052,9.3085,9.3114,9.3136
9.2009,9.2171,9.2181,9.2185,9.2188,9.2183,9.2176,9.2165,9.215,9.2133
9.2614,9.2721,9.2676,9.2628,9.258,9.2525,9.2467,9.2405,9.234,9.2275
9.4418,9.4538,9.451,9.4474,9.4439,9.4397,9.4352,9.4304,9.4252,9.4197
9.607,9.6219,9.6214,9.6196,9.6175,9.6148,9.6115,9.6078,9.6037,9.5987
9.7459,9.7627,9.7619,9.7596,9.757,9.754,9.7505,9.7464,9.7421,9.7367
9.8988,9.9152,9.9082,9.9012,9.8941,9.8877,9.8817,9.8755,9.8699,9.8628
9.9546,9.9685,9.9432,9.9262,9.9163,9.9075,9.9029,9.8946,9.8856,9.8803
9.9483,9.9579,9.9273,9.9051,9.897,9.8867,9.8804,9.8766,9.8701,9.8625
9.9218,9.9292,9.9041,9.8822,9.8676,9.8563,9.8481,9.8394,9.8342,9.8271
9.838,9.8514,9.8493,9.8428,9.8352,9.8276,9.8203,9.8127,9.8052,9.797
9.6823,9.696,9.6943,9.6887,9.6821,9.6763,9.6709,9.6654,9.6599,9.6536
9.5029,9.5157,9.5162,9.5139,9.5099,9.5057,9.5018,9.4978,9.4938,9.4893
9.3533,9.3632,9.3634,9.3621,9.3591,9.3553,9.3513,9.347,9.3425,9.3377
9.2656,9.2743,9.2722,9.271,9.269,9.2664,9.2634,9.2599,9.2562,9.2519
9.17,9.1786,9.1741,9.1689,9.164,9.16,9.1571,9.1546,9.1524,9.1498
9.0575,9.0654,9.0604,9.0528,9.0457,9.0399,9.0353,9.0308,9.0267,9.0223
8.9077,8.9169,8.9152,8.9111,8.9062,8.9013,8.897,8.8929,8.8891,8.8853
8.9058,8.911,8.9,8.886,8.8732,8.8625,8.8537,8.8459,8.838,8.8316
9.2274,9.226,9.2032,9.1802,9.161,9.1439,9.129,9.1147,9.1011,9.0884
9.6586,9.6475,9.6086,9.572,9.5423,9.5165,9.4947,9.4738,9.4537,9.4351
10.2836,10.2671,10.222,10.1834,10.1539,10.1273,10.1038,10.0778,10.0565,10.0356
10.644,10.6307,10.5933,10.5589,10.5331,10.5128,10.4965,10.4808,10.4668,10.4528
10.5974,10.5717,10.4982,10.4477,10.4241,10.4102,10.3961,10.3873,10.3773,10.3713
10.4742,10.4547,10.4102,10.379,10.3618,10.3482,10.3385,10.3305,10.3216,10.3122
10.1567,10.1346,10.1086,10.0883,10.0751,10.0657,10.062,10.0561,10.052,10.0497
9.8897,9.8762,9.8669,9.8593,9.8534,9.8484,9.8442,9.8393,9.8341,9.8283
9.663,9.6543,9.6471,9.6423,9.6394,9.638,9.6373,9.6361,9.6349,9.6324
9.3372,9.333,9.3293,9.3266,9.3247,9.3235,9.3226,9.3214,9.32,9.3178
8.9934,8.9963,8.9959,8.9963,8.9963,8.9962,8.996,8.9954,8.9948,8.9931
8.6514,8.659,8.6601,8.6618,8.663,8.664,8.6648,8.6654,8.6659,8.6653
8.4513,8.4615,8.4625,8.4639,8.465,8.4659,8.4664,8.4665,8.4663,8.4647
8.2798,8.2935,8.2964,8.2991,8.301,8.3027,8.3041,8.3051,8.3061,8.3057
7.983,8.0007,8.0079,8.0143,8.0197,8.0248,8.0293,8.0333,8.0372,8.0394
7.7408,7.7567,7.7613,7.7651,7.7682,7.7711,7.7737,7.7761,7.7784,7.7801
7.6611,7.6771,7.68,7.6817,7.6834,7.685,7.6866,7.6882,7.6899,7.6913
7.6816,7.6991,7.7024,7.7044,7.7061,7.7075,7.7089,7.7104,7.7119,7.7132
7.8003,7.8129,7.8108,7.8086,7.8068,7.8049,7.8035,7.8024,7.8016,7.8013
8.0206,8.018,8.0075,8.0005,7.9959,7.9919,7.9886,7.9855,7.9827,7.9804
8.2648,8.2568,8.2457,8.2392,8.2348,8.2309,8.2276,8.2244,8.2214,8.2184
8.515,8.5071,8.5,8.497,8.4958,8.4951,8.4948,8.4943,8.494,8.4935
8.6716,8.6771,8.6788,8.681,8.6835,8.6859,8.6882,8.6902,8.6921,8.6936
8.7126,8.726,8.7313,8.7363,8.7409,8.7453,8.7496,8.7536,8.7574,8.7609
8.543,8.5627,8.5697,8.5778,8.5865,8.5947,8.6027,8.6103,8.6176,8.624
8.9393,8.9453,8.9414,8.9401,8.9389,8.938,8.9373,8.9367,8.9363,8.9356
9.141,9.1368,9.1347,9.1348,9.1342,9.1336,9.1334,9.1334,9.1338,9.1343
9.1048,9.0928,9.0896,9.0886,9.0864,9.0842,9.0819,9.0793,9.0768,9.0731
8.9085,8.9019,8.9051,8.9095,8.9127,8.9159,8.9183,8.9204,8.9224,8.9224
8.5724,8.5763,8.5806,8.5849,8.5887,8.5925,8.5966,8.6011,8.6056,8.6085
8.5005,8.5018,8.5035,8.5059,8.5089,8.5121,8.516,8.5203,8.5247,8.53
8.9177,8.9134,8.9131,8.9132,8.9135,8.9139,8.914,8.914,8.9146,8.9149
9.3784,9.3744,9.3687,9.3632,9.3575,9.3516,9.3448,9.3382,9.3322,9.3247
9.5881,9.5971,9.5932,9.5865,9.5779,9.5686,9.5601,9.5525,9.5452,9.5381
9.6783,9.6992,9.6973,9.6917,9.6848,9.6772,9.6699,9.6628,9.6559,9.6504
9.805,9.8369,9.8369,9.8317,9.825,9.8173,9.8099,9.8029,9.7958,9.7899
9.7597,9.8061,9.8115,9.8099,9.8066,9.8022,9.798,9.7938,9.7895,9.7857
9.6053,9.6618,9.6721,9.6747,9.6757,9.6757,9.6756,9.6755,9.6751,9.6733
9.5232,9.5783,9.5903,9.5957,9.5995,9.6025,9.6052,9.6076,9.6097,9.6105
9.4514,9.5031,9.5146,9.5204,9.5246,9.5279,9.5309,9.5337,9.5361,9.5376
9.3468,9.3971,9.4096,9.4168,9.4212,9.4248,9.4293,9.4345,9.4394,9.4434
9.3124,9.3607,9.374,9.3826,9.3892,9.395,9.3997,9.4038,9.4075,9.4108
9.2487,9.2921,9.2986,9.3002,9.3007,9.3003,9.2997,9.2988,9.2976,9.2957
9.166,9.2113,9.2139,9.2109,9.2069,9.202,9.1968,9.1916,9.186,9.1797
9.0204,9.0721,9.0746,9.0708,9.0658,9.0598,9.0537,9.0474,9.0409,9.0342
8.9709,9.0178,9.0211,9.0188,9.0156,9.0115,9.0073,9.0029,8.9982,8.9933
8.9547,8.9944,8.9977,8.9964,8.9942,8.9911,8.988,8.9848,8.9813,8.9777
8.9133,8.9637,8.9687,8.9682,8.9669,8.9645,8.9621,8.9595,8.9566,8.9535
8.895,8.9611,8.9689,8.9704,8.971,8.9703,8.9694,8.9683,8.9667,8.9644
8.7759,8.8573,8.867,8.8694,8.8706,8.8704,8.87,8.8693,8.8682,8.866
8.6478,8.7461,8.7562,8.7582,8.759,8.7581,8.7574,8.7566,8.7554,8.7541
8.59,8.708,8.7215,8.726,8.7295,8.7313,8.7329,8.7343,8.7353,8.7348
8.5014,8.6238,8.6386,8.6446,8.6496,8.6526,8.6555,8.658,8.6602,8.6609
8.4506,8.5539,8.5662,8.5713,8.5756,8.5775,8.58,8.5823,8.5843,8.5854
8.4162,8.4983,8.5092,8.5146,8.5193,8.5225,8.5257,8.5288,8.5315,8.5342
8.3914,8.4552,8.4626,8.4652,8.4672,8.4678,8.4684,8.4688,8.4689,8.4687
8.4086,8.464,8.4716,8.4751,8.4781,8.48,8.4819,8.4838,8.4853,8.4866
8.49,8.5366,8.5454,8.5507,8.5555,8.5594,8.563,8.5664,8.5694,8.5715
8.4511,8.4893,8.4974,8.5022,8.5062,8.5096,8.5123,8.5147,8.5168,8.5178
8.3605,8.3924,8.3947,8.3937,8.3919,8.3893,8.3864,8.383,8.3794,8.375
8.21,8.2423,8.2417,8.238,8.2339,8.2291,8.2252,8.2219,8.2184,8.2143
8.2041,8.2371,8.239,8.2381,8.2368,8.2348,8.2326,8.2301,8.2274,8.2239
8.3072,8.3371,8.3403,8.3411,8.3414,8.3411,8.3403,8.339,8.3374,8.3344
8.5063,8.5303,8.5297,8.5273,8.525,8.5221,8.5188,8.515,8.511,8.5059
8.7058,8.7407,8.7482,8.7539,8.7605,8.7664,8.7726,8.7788,8.7849,8.7904
9.0094,9.0499,9.0583,9.0637,9.0686,9.0726,9.0754,9.0772,9.0786,9.0776
9.3369,9.371,9.3715,9.3697,9.3681,9.3657,9.3622,9.3579,9.3531,9.347
9.6254,9.6669,9.6722,9.6763,9.6803,9.6827,9.6837,9.6836,9.6828,9.6805
9.7625,9.8073,9.8126,9.816,9.8185,9.8194,9.8192,9.8179,9.8157,9.8124
9.818,9.8664,9.8746,9.8797,9.8835,9.8858,9.8868,9.8866,9.8851,9.8818
9.7788,9.8263,9.8344,9.8384,9.841,9.8423,9.8423,9.8412,9.8387,9.8341
9.5596,9.6109,9.6215,9.6282,9.6337,9.6379,9.6413,9.6437,9.6449,9.6444
9.3427,9.3966,9.4113,9.4225,9.4323,9.4409,9.4484,9.4549,9.4604,9.4638
9.3013,9.3539,9.3714,9.3854,9.3978,9.4093,9.4197,9.4291,9.4376,9.4439
9.3698,9.4197,9.4383,9.4534,9.4672,9.48,9.4917,9.5024,9.5123,9.5194
9.4166,9.4634,9.4804,9.4943,9.5066,9.5181,9.5279,9.5364,9.5442,9.5482
9.4498,9.491,9.5023,9.5102,9.5165,9.5218,9.5252,9.5272,9.5284,9.5257
9.3882,9.4246,9.4326,9.4371,9.4399,9.4419,9.442,9.4407,9.4388,9.4336
9.223,9.2573,9.2603,9.2599,9.2581,9.2554,9.2516,9.247,9.2418,9.2345
8.9943,9.0314,9.0338,9.0331,9.0317,9.0292,9.0262,9.0228,9.019,9.0145
8.8609,8.8941,8.9026,8.9096,8.9163,8.9219,8.9272,8.932,8.9362,8.9437
8.8512,8.8514,8.8561,8.8623,8.8675,8.8718,8.8762,8.8722,8.8746,8.8749
8.7016,8.7073,8.7058,8.7061,8.7056,8.7047,8.7031,8.7009,8.6984,8.695
8.6011,8.6163,8.6164,8.6144,8.611,8.6074,8.603,8.598,8.5929,8.587
8.5398,8.5624,8.5664,8.5682,8.5695,8.5701,8.5704,8.5707,8.5709,8.5708
8.4619,8.4911,8.5002,8.5067,8.5123,8.5174,8.5221,8.5266,8.5309,8.5347
8.4309,8.4583,8.4669,8.4731,8.4782,8.4827,8.4866,8.4903,8.4936,8.4962
8.3998,8.4232,8.4299,8.4342,8.4378,8.4409,8.4436,8.4461,8.4485,8.4505
8.3632,8.389,8.3958,8.3998,8.403,8.4058,8.4081,8.4101,8.412,8.4129
8.2437,8.2741,8.2802,8.2827,8.2842,8.285,8.2854,8.2855,8.2854,8.2843
8.1145,8.1474,8.1537,8.1563,8.1581,8.1592,8.1603,8.1614,8.1625,8.1632
8.0999,8.1351,8.1418,8.145,8.1476,8.1495,8.1512,8.1529,8.1545,8.1556
8.18,8.2166,8.222,8.224,8.2253,8.226,8.2264,8.2266,8.2267,8.2258
8.1284,8.169,8.1698,8.1665,8.1623,8.1573,8.1519,8.1462,8.1405,8.1337
7.9921,8.0426,8.0454,8.0435,8.0413,8.0381,8.0351,8.0322,8.0291,8.026
8.0162,8.0667,8.0715,8.0721,8.0722,8.0712,8.0703,8.0693,8.0683,8.0671
