0,1,2,3,4,5,6,7,8,9
17643.0,17747.0,17800.0,17841.0,17873.0,17902.0,17918.0,17924.0,17924.0,17906.0
17637.0,17733.0,17794.0,17846.0,17888.0,17927.0,17954.0,17971.0,17983.0,17975.0
17291.0,17375.0,17434.0,17490.0,17536.0,17579.0,17611.0,17634.0,17654.0,17656.0
17101.0,17166.0,17206.0,17245.0,17277.0,17305.0,17323.0,17335.0,17342.0,17335.0
17650.0,17691.0,17698.0,17704.0,17706.0,17704.0,17694.0,17676.0,17656.0,17623.0
18715.0,18746.0,18743.0,18737.0,18726.0,18710.0,18685.0,18652.0,18616.0,18567.0
19780.0,19813.0,19811.0,19803.0,19788.0,19769.0,19739.0,19702.0,19661.0,19607.0
20545.0,20578.0,20574.0,20557.0,20533.0,20506.0,20471.0,20429.0,20386.0,20329.0
20953.0,20970.0,20951.0,20913.0,20873.0,20839.0,20808.0,20772.0,20736.0,20684.0
20791.0,20793.0,20799.0,20788.0,20771.0,20751.0,20729.0,20704.0,20676.0,20631.0
20177.0,20217.0,20287.0,20339.0,20345.0,20352.0,20342.0,20316.0,20292.0,20255.0
19144.0,19223.0,19324.0,19421.0,19490.0,19543.0,19575.0,19598.0,19604.0,19590.0
17798.0,17886.0,17956.0,18022.0,18074.0,18122.0,18158.0,18186.0,18209.0,18213.0
16084.0,16172.0,16242.0,16309.0,16361.0,16409.0,16445.0,16475.0,16498.0,16507.0
14223.0,14298.0,14360.0,14418.0,14462.0,14503.0,14534.0,14559.0,14579.0,14585.0
12499.0,12555.0,12602.0,12647.0,12678.0,12707.0,12727.0,12743.0,12755.0,12756.0
11027.0,11070.0,11109.0,11146.0,11170.0,11191.0,11206.0,11216.0,11223.0,11220.0
9608.0,9649.0,9691.0,9735.0,9767.0,9795.0,9815.0,9830.0,9842.0,9844.0
8269.0,8305.0,8345.0,8389.0,8424.0,8455.0,8480.0,8499.0,8517.0,8526.0
7596.0,7583.0,7586.0,7590.0,7593.0,7597.0,7601.0,7605.0,7609.0,7613.0
7517.0,7505.0,7510.0,7515.0,7521.0,7527.0,7532.0,7538.0,7544.0,7549.0
8251.0,8241.0,8214.0,8202.0,8188.0,8169.0,8143.0,8112.0,8077.0,8040.0
10535.0,10512.0,10459.0,10428.0,10397.0,10355.0,10300.0,10239.0,10172.0,10102.0
14710.0,14675.0,14593.0,14528.0,14464.0,14386.0,14296.0,14201.0,14095.0,13984.0
18812.0,18842.0,18845.0,18861.0,18861.0,18845.0,18804.0,18745.0,18673.0,18581.0
20566.0,20671.0,20815.0,20952.0,21027.0,21069.0,21090.0,21080.0,21056.0,21004.0
21161.0,21286.0,21420.0,21552.0,21642.0,21722.0,21772.0,21802.0,21820.0,21808.0
18908.0,19091.0,19273.0,19452.0,19604.0,19748.0,19865.0,19978.0,20078.0,20142.0
17036.0,17162.0,17245.0,17318.0,17379.0,17437.0,17482.0,17519.0,17550.0,17563.0
15097.0,15227.0,15340.0,15450.0,15542.0,15630.0,15704.0,15770.0,15830.0,15868.0
13231.0,13319.0,13383.0,13444.0,13495.0,13544.0,13585.0,13620.0,13652.0,13671.0
12174.0,12245.0,12305.0,12367.0,12418.0,12465.0,12503.0,12535.0,12564.0,12577.0
10672.0,10730.0,10784.0,10843.0,10893.0,10942.0,10984.0,11022.0,11059.0,11084.0
