0,1,2,3,4,5,6,7,8,9
7.6818,7.7147,7.7211,7.725,7.728,7.7302,7.7318,7.7326,7.733,7.7325
7.6331,7.6631,7.6692,7.6732,7.6765,7.6791,7.6813,7.683,7.6843,7.6851
7.5448,7.5734,7.5799,7.5849,7.5892,7.5929,7.5961,7.5989,7.6013,7.6031
7.4533,7.4756,7.4771,7.4772,7.477,7.4761,7.4748,7.4732,7.4713,7.4692
7.487,7.5029,7.4998,7.4955,7.4911,7.4858,7.4802,7.4743,7.4682,7.462
7.6665,7.684,7.6825,7.6795,7.6764,7.6726,7.6688,7.6645,7.66,7.655
7.8302,7.8502,7.8498,7.8476,7.8452,7.8423,7.839,7.8353,7.8313,7.8264
8.0023,8.0233,8.0196,8.0152,8.0112,8.0071,8.0029,7.9982,7.9933,7.9872
8.2602,8.2791,8.2632,8.2522,8.2428,8.2355,8.2292,8.2229,8.2171,8.209
8.3581,8.3699,8.3261,8.3083,8.3011,8.2952,8.2939,8.286,8.2777,8.2732
8.3849,8.3858,8.3298,8.3027,8.2991,8.2922,8.291,8.2933,8.2899,8.285
8.4514,8.4465,8.3974,8.367,8.3506,8.3389,8.3317,8.3241,8.3211,8.3137
8.4227,8.43,8.4172,8.4011,8.3872,8.375,8.3644,8.3537,8.3434,8.3325
8.2875,8.2959,8.2823,8.2657,8.2517,8.2411,8.2326,8.2242,8.2162,8.2075
8.1377,8.146,8.1382,8.1279,8.1175,8.1086,8.1013,8.0944,8.0877,8.0812
8.0524,8.0562,8.0486,8.04,8.0299,8.0195,8.0093,7.9992,7.9893,7.9797
8.0692,8.0712,8.0582,8.0503,8.0426,8.034,8.0253,8.016,8.0067,7.9971
8.0247,8.0269,8.0083,7.9921,7.9792,7.9688,7.9612,7.9546,7.9488,7.9427
7.8902,7.8925,7.8751,7.8566,7.8424,7.8319,7.824,7.8165,7.8096,7.8022
7.5795,7.5871,7.5813,7.5739,7.5664,7.56,7.5554,7.5515,7.5482,7.5451
7.4534,7.4559,7.4367,7.4157,7.3989,7.3872,7.3785,7.3716,7.3643,7.359
7.7542,7.748,7.7105,7.6787,7.6566,7.6388,7.6245,7.6107,7.5978,7.5856
8.1158,8.0928,8.0296,7.981,7.9467,7.9187,7.8955,7.8732,7.8515,7.8314
8.7581,8.7287,8.6514,8.5978,8.564,8.5358,8.5123,8.484,8.4638,8.4436
9.2305,9.1974,9.1228,9.0694,9.0356,9.011,8.9926,8.9749,8.9589,8.9434
9.3838,9.3234,9.1867,9.1179,9.0947,9.0834,9.0683,9.0597,9.0484,9.0435
9.4177,9.3641,9.2661,9.2171,9.1977,9.1842,9.1761,9.1721,9.1649,9.1566
9.1542,9.1011,9.0399,9.0015,8.9801,8.9657,8.9609,8.9524,8.947,8.946
8.8607,8.8329,8.8083,8.7915,8.7809,8.7734,8.7682,8.763,8.7578,8.7531
8.6418,8.6188,8.5909,8.5725,8.5621,8.5558,8.5518,8.5478,8.5442,8.5399
8.2062,8.1946,8.1782,8.1657,8.1569,8.1502,8.1449,8.1395,8.1343,8.1289
7.6979,7.7004,7.6919,7.6856,7.6801,7.6751,7.6707,7.6663,7.662,7.6573
7.3254,7.336,7.3327,7.3305,7.3286,7.3265,7.3245,7.3224,7.3203,7.3173
7.1448,7.1607,7.1598,7.1602,7.1611,7.1616,7.1618,7.1615,7.161,7.1588
6.9927,7.0123,7.0138,7.0155,7.017,7.0183,7.0195,7.0205,7.0215,7.021
6.7341,6.7551,6.7606,6.7654,6.7697,6.7737,6.7773,6.7805,6.7836,6.7852
6.5668,6.5842,6.5876,6.59,6.5922,6.5942,6.596,6.5977,6.5993,6.6003
6.5364,6.5545,6.5576,6.5592,6.5613,6.5634,6.5655,6.5676,6.5698,6.5715
6.5764,6.596,6.6001,6.6026,6.6052,6.6074,6.6097,6.612,6.6144,6.6165
6.6842,6.6964,6.6929,6.6917,6.6907,6.6897,6.6894,6.6893,6.6896,6.6903
6.8667,6.8588,6.8465,6.8405,6.8375,6.8352,6.8335,6.8317,6.8302,6.8289
7.0648,7.0522,7.0396,7.0344,7.0316,7.0293,7.0273,7.0253,7.0233,7.0208
7.2951,7.2822,7.2734,7.2712,7.2712,7.2717,7.2725,7.273,7.2736,7.2736
7.4396,7.4448,7.4468,7.4501,7.4538,7.4574,7.4609,7.464,7.467,7.4694
7.4589,7.4739,7.4801,7.4858,7.4911,7.4962,7.5012,7.5055,7.51,7.5141
7.2004,7.2176,7.2252,7.2339,7.2433,7.2523,7.2611,7.2696,7.2777,7.2848
7.7469,7.7462,7.7348,7.7267,7.7182,7.7108,7.7038,7.697,7.6903,7.6838
8.0469,8.0361,8.032,8.0308,8.0288,8.0269,8.0256,8.0245,8.0237,8.0231
8.0189,7.999,7.9946,7.9928,7.9899,7.9872,7.9842,7.9811,7.9781,7.9737
7.8198,7.8045,7.8073,7.8122,7.8161,7.8202,7.8238,7.827,7.8303,7.8317
7.4942,7.4839,7.4851,7.487,7.4877,7.4885,7.4917,7.4964,7.5012,7.5046
7.4928,7.4794,7.4815,7.4853,7.4898,7.4948,7.5003,7.5063,7.5123,7.5193
7.8125,7.7939,7.7954,7.7976,7.7997,7.8024,7.8046,7.806,7.8083,7.8103
8.109,8.0911,8.0868,8.0827,8.0784,8.0742,8.0685,8.0635,8.0589,8.0506
