0,1,2,3,4,5,6,7,8,9
15.978,15.384,15.173,14.992,14.837,14.695,14.579,14.483,14.397,14.344
16.444,15.884,15.666,15.476,15.311,15.159,15.026,14.909,14.799,14.719
20.43,19.832,19.562,19.309,19.081,18.868,18.678,18.505,18.337,18.201
25.974,25.506,25.362,25.231,25.122,25.031,24.961,24.907,24.861,24.841
29.745,29.493,29.566,29.652,29.746,29.857,29.984,30.124,30.269,30.426
28.587,28.333,28.393,28.465,28.54,28.631,28.738,28.859,28.985,29.13
25.846,25.564,25.58,25.621,25.678,25.752,25.85,25.967,26.091,26.251
22.891,22.636,22.653,22.731,22.841,22.968,23.113,23.271,23.427,23.625
19.571,19.375,19.342,19.422,19.51,19.59,19.663,19.745,19.847,19.998
18.724,18.504,17.906,17.521,17.328,17.197,17.181,17.093,17.005,17.108
19.138,18.764,17.841,17.109,16.828,16.49,16.299,16.236,16.108,16.026
19.731,19.337,18.516,17.739,17.195,16.757,16.463,16.18,16.031,15.931
21.899,21.584,21.341,21.046,20.793,20.544,20.348,20.171,20.006,19.91
26.992,26.667,26.383,26.05,25.783,25.553,25.391,25.259,25.15,25.101
34.444,34.134,33.896,33.631,33.429,33.247,33.124,33.032,32.962,32.96
42.549,42.333,42.208,42.081,42.024,41.981,41.982,42.012,42.062,42.171
49.146,48.943,48.75,48.613,48.573,48.551,48.571,48.616,48.678,48.804
56.971,56.709,56.324,55.912,55.626,55.407,55.287,55.223,55.198,55.256
66.154,65.907,65.495,64.99,64.591,64.26,64.031,63.853,63.713,63.653
75.401,75.205,74.942,74.652,74.396,74.164,73.997,73.874,73.778,73.744
78.655,78.609,78.464,78.227,78.023,77.901,77.862,77.879,77.914,77.996
70.306,70.399,70.389,70.212,70.109,70.114,70.231,70.41,70.644,70.922
52.012,52.107,52.112,51.934,51.889,52.05,52.416,52.885,53.422,54.027
23.848,23.905,23.942,23.98,24.157,24.446,24.854,25.237,25.782,26.37
5.757,5.693,5.49,5.241,5.08,5.001,5.027,5.107,5.251,5.452
357.503,357.444,356.683,356.09,355.813,355.667,355.49,355.426,355.365,355.395
