0,1,2,3,4,5,6,7,8,9
2.4458,2.44631,2.44742,2.44818,2.44859,2.44892,2.44873,2.44816,2.44736,2.44578
2.45501,2.45556,2.45742,2.45902,2.46019,2.46129,2.4618,2.4619,2.46178,2.46075
2.46225,2.46209,2.4639,2.46561,2.46692,2.46814,2.46884,2.46917,2.46933,2.46867
2.47966,2.47942,2.48139,2.48338,2.48505,2.48664,2.48775,2.48852,2.48915,2.48901
2.51874,2.51857,2.5203,2.52204,2.52357,2.52501,2.52597,2.52659,2.52711,2.52691
2.55305,2.55205,2.55286,2.55366,2.55417,2.5546,2.55453,2.55411,2.55359,2.55245
2.58104,2.57945,2.5797,2.57988,2.5798,2.57962,2.57903,2.57814,2.57712,2.57563
2.59371,2.59192,2.59216,2.5921,2.59178,2.5914,2.59073,2.58985,2.58891,2.58754
2.58452,2.58224,2.58286,2.58278,2.58269,2.58281,2.58293,2.58291,2.5827,2.582
2.56578,2.56316,2.5676,2.57048,2.57204,2.57327,2.57371,2.57456,2.57538,2.57481
2.5352,2.53476,2.54232,2.54815,2.55018,2.55266,2.55388,2.55406,2.55471,2.55498
2.48491,2.48679,2.49487,2.50243,2.50779,2.51213,2.51513,2.51783,2.51934,2.52031
2.42594,2.42793,2.43185,2.43609,2.43983,2.44344,2.44642,2.44909,2.45151,2.45323
2.35868,2.36105,2.36517,2.36957,2.37341,2.37695,2.37988,2.38247,2.3848,2.38651
2.28449,2.28664,2.2903,2.29412,2.29745,2.30061,2.30323,2.30553,2.30761,2.30903
2.20823,2.20998,2.21316,2.21637,2.21911,2.22176,2.22401,2.22599,2.22781,2.22904
2.13031,2.13149,2.13455,2.13734,2.13952,2.14161,2.14334,2.14485,2.14624,2.14714
2.05273,2.05365,2.05715,2.06082,2.06374,2.06632,2.0683,2.06991,2.0713,2.0722
1.97908,1.97975,1.98317,1.98714,1.99046,1.99344,1.99582,1.99792,1.9998,2.00126
1.9302,1.93029,1.93244,1.93479,1.93694,1.93898,1.94062,1.94203,1.94328,1.94422
1.91911,1.91867,1.92055,1.92307,1.92535,1.92712,1.92835,1.92921,1.92998,1.93033
1.9431,1.94217,1.94379,1.94631,1.94834,1.9498,1.95057,1.95099,1.95109,1.95094
2.02016,2.0197,2.02188,2.025,2.02737,2.02868,2.02892,2.02862,2.02795,2.02688
2.15701,2.15681,2.15849,2.16031,2.16108,2.16093,2.15983,2.15875,2.15661,2.15415
2.29852,2.30135,2.3064,2.31165,2.3153,2.31762,2.3184,2.31835,2.31748,2.31573
2.37746,2.38526,2.40088,2.4135,2.42026,2.4245,2.42791,2.42936,2.43039,2.42966
2.41703,2.42555,2.4375,2.44761,2.45423,2.46,2.46392,2.46679,2.46925,2.47045
2.35707,2.36889,2.38094,2.39198,2.40086,2.40888,2.41493,2.42103,2.42625,2.42959
2.29686,2.30515,2.31087,2.31577,2.3198,2.32357,2.32658,2.32925,2.33162,2.33312
2.22199,2.23,2.23699,2.24339,2.24866,2.25353,2.25759,2.26123,2.26462,2.26697
2.16194,2.16766,2.17229,2.1765,2.18014,2.18354,2.18644,2.18907,2.19149,2.19329
2.15627,2.1603,2.16476,2.16919,2.17307,2.17676,2.17991,2.18275,2.18542,2.18733
2.13439,2.13701,2.14146,2.14612,2.15031,2.1544,2.15809,2.16155,2.16489,2.16765
2.13233,2.13288,2.13607,2.1394,2.14239,2.1453,2.14793,2.1504,2.15279,2.15489
2.15693,2.15518,2.15669,2.15855,2.16035,2.16212,2.1638,2.16544,2.167,2.1686
2.22677,2.22257,2.2223,2.22258,2.22287,2.22317,2.22355,2.22401,2.22442,2.22515
2.29398,2.29055,2.29203,2.29422,2.29638,2.29853,2.3007,2.3029,2.30507,2.30734
2.35056,2.34791,2.35122,2.35531,2.35926,2.36322,2.36706,2.37087,2.37463,2.37837
2.42018,2.41688,2.42042,2.42464,2.42872,2.43286,2.43682,2.44069,2.44455,2.44828
2.50901,2.50576,2.50941,2.51325,2.51695,2.52066,2.52412,2.52747,2.53077,2.53389
2.62467,2.62475,2.62946,2.63333,2.63635,2.6391,2.64132,2.64336,2.64536,2.64704
2.73709,2.73784,2.74159,2.74404,2.74538,2.74636,2.74676,2.74693,2.74707,2.74703
2.77123,2.7725,2.77522,2.77649,2.77681,2.77671,2.77615,2.77544,2.77466,2.77384
2.77233,2.77058,2.77113,2.77122,2.77104,2.7707,2.77007,2.76932,2.76846,2.76762
2.77695,2.77379,2.77432,2.77484,2.77511,2.77532,2.77526,2.77506,2.77469,2.77415
2.86901,2.86168,2.85764,2.85418,2.85108,2.84779,2.84445,2.84113,2.83773,2.83467
3.65877,3.61139,3.57839,3.55022,3.52325,3.49634,3.4701,3.44418,3.41846,3.3942
4.08291,4.00408,3.98061,3.96482,3.94897,3.93407,3.91944,3.90487,3.89058,3.87632
3.96972,3.88489,3.86814,3.85902,3.84961,3.84127,3.83307,3.82485,3.81689,3.80936
3.82704,3.75012,3.73747,3.73156,3.72603,3.72149,3.71743,3.71363,3.70999,3.70758
3.87471,3.79788,3.78476,3.77784,3.77199,3.76727,3.76315,3.75942,3.75585,3.75454
4.21632,4.13404,4.12928,4.13132,4.13489,4.14009,4.14568,4.15164,4.15771,4.16513
4.45987,4.36394,4.35406,4.35061,4.3476,4.34638,4.34457,4.34259,4.34084,4.3397
4.5607,4.46523,4.44946,4.43989,4.43112,4.42402,4.41696,4.41019,4.40379,4.39946
4.7511,4.65737,4.63998,4.62852,4.61834,4.60972,4.60087,4.5921,4.58374,4.5773
4.79651,4.72076,4.7084,4.69974,4.69146,4.68438,4.67665,4.66877,4.66099,4.65284
4.66727,4.61069,4.60117,4.59383,4.58586,4.57881,4.57091,4.56271,4.55461,4.54596
4.54189,4.49319,4.48309,4.4751,4.46681,4.45939,4.45156,4.44359,4.43566,4.42739
4.47382,4.4241,4.41234,4.40315,4.39401,4.38578,4.3774,4.36895,4.36052,4.35249
4.37563,4.32451,4.3115,4.30162,4.29213,4.28356,4.27529,4.26721,4.25919,4.25202
4.28259,4.23187,4.22109,4.21412,4.20773,4.20222,4.19712,4.19226,4.18751,4.18367
4.26627,4.21481,4.20603,4.20152,4.19759,4.19444,4.19087,4.187,4.18317,4.17962
4.19977,4.1491,4.13751,4.12945,4.12128,4.11383,4.10638,4.0989,4.09136,4.08374
4.03693,3.99589,3.98608,3.97892,3.97169,3.96502,3.95816,3.95118,3.94416,3.9372
3.87261,3.84096,3.83553,3.83209,3.82851,3.82543,3.82214,3.81875,3.81533,3.81198
3.74069,3.71818,3.71723,3.7176,3.7178,3.71846,3.71891,3.71924,3.71956,3.7197
3.71142,3.68683,3.68759,3.68986,3.69169,3.69405,3.69569,3.69692,3.69809,3.69842
3.72614,3.69048,3.68753,3.68672,3.68521,3.68427,3.68233,3.6798,3.67723,3.67365
3.6381,3.60402,3.5973,3.59243,3.58716,3.58237,3.57693,3.57112,3.56526,3.55893
3.48335,3.46215,3.45624,3.4512,3.44586,3.44082,3.43537,3.42968,3.42394,3.41797
3.35471,3.34495,3.34086,3.33695,3.33279,3.32878,3.3245,3.32009,3.31563,3.31097
3.25801,3.26032,3.25753,3.25422,3.25066,3.24712,3.24325,3.2392,3.23506,3.23037
3.15768,3.17249,3.17071,3.16771,3.16445,3.16092,3.15741,3.15383,3.15017,3.14653
3.10891,3.12701,3.12584,3.12352,3.12122,3.1186,3.11612,3.11363,3.1111,3.10849
3.10258,3.11517,3.11382,3.11181,3.10982,3.10766,3.10538,3.10302,3.10059,3.09794
3.1193,3.12222,3.12074,3.1194,3.11797,3.11641,3.11465,3.11267,3.11061,3.10795
3.13824,3.13273,3.13234,3.13273,3.13285,3.13298,3.13263,3.13191,3.13109,3.12941
3.13595,3.12479,3.1239,3.12408,3.12394,3.12391,3.12335,3.12241,3.12137,3.11972
3.0797,3.0704,3.07051,3.07165,3.07263,3.07373,3.07456,3.07516,3.07569,3.0759
3.1019,3.08996,3.09102,3.09334,3.09545,3.09774,3.09967,3.10135,3.10294,3.10419
3.16359,3.14737,3.14923,3.15266,3.15588,3.15939,3.1625,3.16533,3.1681,3.17051
3.26931,3.25125,3.25556,3.26165,3.26753,3.27381,3.27926,3.2842,3.28904,3.29313
3.46397,3.4393,3.44399,3.45068,3.45671,3.46325,3.46887,3.47395,3.47892,3.4829
3.57183,3.5405,3.54011,3.54187,3.5432,3.54507,3.54643,3.54754,3.54859,3.54964
3.5222,3.49367,3.49236,3.49318,3.49399,3.49528,3.49646,3.49759,3.49869,3.50036
3.46209,3.44034,3.44282,3.4477,3.45342,3.45958,3.46644,3.47376,3.48112,3.49019
3.56834,3.55401,3.56144,3.57068,3.57997,3.58961,3.59899,3.60822,3.61735,3.62646
3.69199,3.67021,3.67019,3.67199,3.67367,3.67569,3.67708,3.67806,3.6789,3.67955
3.70889,3.68161,3.67515,3.671,3.66717,3.66354,3.65951,3.65521,3.65077,3.64654
3.69943,3.67603,3.67066,3.66748,3.66463,3.66195,3.65888,3.65552,3.65193,3.64795
3.65086,3.635,3.63371,3.6339,3.63393,3.63405,3.6336,3.63271,3.63153,3.62977
3.54676,3.53727,3.53994,3.54354,3.54691,3.55038,3.55335,3.55591,3.55815,3.55972
3.54159,3.53159,3.53582,3.54106,3.546,3.55108,3.55542,3.55922,3.56268,3.56526
3.58945,3.57426,3.57658,3.58011,3.58335,3.58678,3.58945,3.5916,3.59344,3.59443
3.56072,3.54225,3.54087,3.54055,3.53994,3.53951,3.5384,3.5368,3.53493,3.53238
3.44106,3.42322,3.41969,3.41718,3.41468,3.41235,3.40967,3.40673,3.40356,3.40022
3.31867,3.30465,3.30139,3.29903,3.29692,3.29491,3.29292,3.29087,3.28864,3.28686
3.22828,3.22087,3.22152,3.22295,3.22463,3.22639,3.22828,3.2302,3.23195,3.23423
3.19621,3.19148,3.19472,3.19861,3.20252,3.20652,3.21034,3.21399,3.21748,3.22084
3.19547,3.19002,3.1938,3.19827,3.20251,3.20687,3.21093,3.21476,3.21845,3.22192
3.20796,3.2029,3.20898,3.21609,3.22332,3.2307,3.23786,3.24485,3.25169,3.25829
3.24721,3.2421,3.2486,3.25601,3.26343,3.27105,3.27821,3.28503,3.29175,3.29708
3.28493,3.28923,3.29632,3.30313,3.30965,3.31649,3.32252,3.33024,3.33605,3.34187
3.35324,3.3544,3.36302,3.3714,3.3795,3.38762,3.39521,3.40246,3.40955,3.41581
3.37136,3.36692,3.37493,3.38385,3.39272,3.40178,3.41042,3.4188,3.42704,3.43484
3.35931,3.35123,3.35854,3.36687,3.37488,3.38314,3.3908,3.39809,3.40527,3.41174
3.37915,3.36344,3.36744,3.37281,3.37788,3.38328,3.38809,3.39254,3.39689,3.40068
3.40665,3.38569,3.38694,3.38976,3.39238,3.39539,3.39787,3.40005,3.40214,3.40393
3.38691,3.36738,3.36843,3.37104,3.37363,3.37661,3.37927,3.38177,3.38422,3.38648
3.3514,3.33201,3.332,3.33344,3.33478,3.33649,3.33786,3.33906,3.3402,3.3411
3.36308,3.33885,3.3367,3.33639,3.33597,3.33601,3.33573,3.33528,3.33479,3.33426
3.41291,3.38131,3.37632,3.37384,3.37164,3.36996,3.36807,3.36608,3.36408,3.36218
3.355,3.32513,3.31925,3.31579,3.31262,3.30995,3.30726,3.3046,3.30198,3.29974
3.17836,3.16292,3.16054,3.15975,3.15927,3.15911,3.15914,3.1593,3.1595,3.16025
3.07278,3.07019,3.07224,3.07529,3.07867,3.08221,3.08614,3.09029,3.09448,3.09933
3.11164,3.10864,3.11149,3.1156,3.11982,3.12423,3.12841,3.13242,3.1364,3.1398
3.15421,3.13848,3.13411,3.13146,3.12857,3.12589,3.12266,3.11902,3.11536,3.11089
3.12471,3.10117,3.09253,3.08627,3.08012,3.07422,3.06815,3.0619,3.05567,3.04922
3.06093,3.03564,3.02687,3.02085,3.01513,3.00963,3.00416,2.9986,2.99308,2.98763
2.99882,2.97662,2.96895,2.96361,2.95843,2.9534,2.9483,2.94309,2.93785,2.93265
2.89251,2.87989,2.87385,2.86935,2.86493,2.86053,2.85619,2.8518,2.84739,2.84324
2.82602,2.82436,2.82144,2.81959,2.81807,2.8165,2.81521,2.814,2.81276,2.81191
2.81735,2.82048,2.82036,2.8214,2.82283,2.8242,2.8258,2.82743,2.82902,2.83082
2.8417,2.84269,2.84355,2.84578,2.8482,2.85062,2.85301,2.85523,2.85739,2.85932
2.8635,2.85879,2.85705,2.85667,2.85644,2.85628,2.85586,2.8552,2.85442,2.85315
2.85097,2.84693,2.84247,2.83857,2.83482,2.83099,2.827,2.82279,2.81791,2.81335
2.83309,2.83619,2.83001,2.82354,2.81755,2.8114,2.80526,2.79887,2.79216,2.78559
2.86593,2.87764,2.87613,2.87406,2.87205,2.86967,2.86646,2.86359,2.86044,2.85719
2.88473,2.8977,2.89654,2.89477,2.89311,2.89111,2.88887,2.88677,2.88445,2.88203
3.00093,3.01382,3.01478,3.0154,3.01652,3.01692,3.01715,3.01708,3.01673,3.01593
3.07369,3.08619,3.08867,3.09107,3.09344,3.09549,3.09732,3.09885,3.10018,3.10096
3.1634,3.17256,3.17475,3.17738,3.18008,3.18254,3.18502,3.18737,3.18953,3.19164
3.25242,3.26347,3.26814,3.273,3.27816,3.28307,3.288,3.29277,3.29731,3.30141
3.2932,3.30501,3.31084,3.31681,3.32237,3.32766,3.33222,3.33617,3.33988,3.34213
3.26709,3.27832,3.28165,3.28473,3.28739,3.28975,3.29148,3.29271,3.29377,3.29361
3.21853,3.23342,3.23362,3.23297,3.23215,3.23106,3.22972,3.22811,3.22631,3.22386
3.19797,3.22084,3.22214,3.22208,3.22177,3.22103,3.22007,3.21883,3.2174,3.21523
3.11908,3.14508,3.14801,3.14958,3.151,3.15199,3.1529,3.15366,3.15431,3.15457
3.05177,3.07382,3.07726,3.07973,3.08238,3.08471,3.08726,3.08983,3.0923,3.09493
3.08681,3.10062,3.1041,3.10731,3.1108,3.11409,3.11743,3.12069,3.12384,3.12693
3.09865,3.10693,3.10981,3.11269,3.11553,3.11822,3.1206,3.12272,3.12473,3.12618
3.02789,3.03294,3.03441,3.03595,3.03731,3.03855,3.03953,3.04028,3.04093,3.04117
2.91491,2.91792,2.91832,2.91887,2.91947,2.91997,2.92047,2.92089,2.92121,2.92157
2.88274,2.88343,2.88543,2.88811,2.89116,2.8942,2.89745,2.90074,2.90393,2.90751
2.85715,2.85564,2.85969,2.86477,2.86998,2.87526,2.88031,2.88515,2.88986,2.89409
2.82195,2.81417,2.81547,2.81779,2.81984,2.82202,2.82372,2.82508,2.82634,2.82693
2.74929,2.73827,2.73677,2.73632,2.73579,2.7354,2.73482,2.73408,2.73328,2.73232
2.69792,2.68658,2.68484,2.68418,2.68357,2.68311,2.68251,2.68178,2.68099,2.68008
2.66323,2.65166,2.65059,2.65061,2.65058,2.65071,2.65055,2.65019,2.64976,2.64889
2.62532,2.61281,2.61188,2.61202,2.61201,2.61221,2.61202,2.61157,2.61106,2.60998
2.56778,2.55501,2.55333,2.55261,2.55171,2.551,2.54996,2.5487,2.54738,2.54569
2.53383,2.52074,2.51861,2.51755,2.51642,2.51548,2.51432,2.51298,2.51157,2.50992
2.487,2.47515,2.47376,2.47336,2.47292,2.47266,2.47217,2.47149,2.47074,2.46972
2.44985,2.441,2.44123,2.44225,2.44316,2.44422,2.44504,2.44569,2.44627,2.4466
2.42208,2.41573,2.41745,2.41985,2.4221,2.42447,2.42667,2.42876,2.4308,2.4328
2.41696,2.4124,2.41534,2.41886,2.42244,2.42614,2.42984,2.43352,2.43714,2.44104
2.46065,2.45848,2.46379,2.46965,2.47552,2.48151,2.4874,2.49322,2.49896,2.5047
2.55156,2.55019,2.5567,2.56362,2.57039,2.57728,2.58386,2.59025,2.59656,2.60255
2.64545,2.64345,2.64931,2.65543,2.66115,2.66697,2.67224,2.67715,2.68195,2.6861
2.78257,2.7804,2.7876,2.79523,2.80248,2.80988,2.8167,2.82316,2.82953,2.83504
2.85191,2.84795,2.85569,2.864,2.87192,2.88001,2.88756,2.89481,2.90197,2.90854
2.85006,2.84374,2.85094,2.85884,2.86651,2.8744,2.8819,2.88919,2.89638,2.90324
2.8964,2.8854,2.89068,2.89665,2.90207,2.90774,2.91263,2.91708,2.92142,2.92492
2.91881,2.9013,2.90166,2.90284,2.90352,2.90448,2.90472,2.90458,2.90435,2.90338
2.88779,2.86739,2.86457,2.86261,2.86026,2.85819,2.85559,2.85269,2.84973,2.84628
2.79967,2.78086,2.778,2.776,2.77383,2.77194,2.76975,2.76743,2.76508,2.76259
2.72406,2.70751,2.7058,2.70498,2.70409,2.70346,2.70268,2.70186,2.70101,2.70038
2.72391,2.71032,2.71226,2.71523,2.71829,2.72163,2.72495,2.7283,2.73162,2.73502
2.77357,2.76029,2.76409,2.76886,2.77341,2.77826,2.7826,2.78667,2.79069,2.79423
2.77033,2.75431,2.75784,2.76253,2.76706,2.77194,2.77649,2.78088,2.78524,2.78942
2.8207,2.79808,2.79976,2.80281,2.80556,2.80875,2.81137,2.81372,2.81602,2.8179
2.83846,2.81229,2.81348,2.8162,2.81855,2.8214,2.82379,2.82598,2.82813,2.83007
2.83226,2.80678,2.80911,2.81309,2.81688,2.82119,2.82525,2.82924,2.83323,2.83741
2.83146,2.80702,2.81022,2.81504,2.81974,2.82495,2.8298,2.83453,2.83924,2.84377
2.83179,2.80379,2.80283,2.80335,2.80365,2.80443,2.80453,2.8043,2.80406,2.80366
2.75989,2.73296,2.72991,2.7284,2.72716,2.72636,2.72553,2.72475,2.72399,2.72421
2.71335,2.69249,2.69177,2.6928,2.69484,2.69729,2.70058,2.70443,2.70835,2.71471
2.85639,2.84119,2.84733,2.85547,2.86469,2.87426,2.8844,2.89496,2.90544,2.91689
3.02485,3.00609,3.01342,3.02208,3.02998,3.03828,3.0453,3.05159,3.0577,3.06244
3.11995,3.09299,3.09395,3.09641,3.09829,3.10061,3.1021,3.10314,3.10408,3.10438
3.1394,3.11556,3.11718,3.12037,3.12341,3.12682,3.12959,3.13201,3.13433,3.13601
3.21136,3.18957,3.19265,3.19729,3.20166,3.20639,3.21031,3.21378,3.21711,3.21954
3.23483,3.21233,3.2149,3.21906,3.22279,3.22688,3.2301,3.23285,3.23546,3.23715
3.2204,3.19773,3.1996,3.20299,3.20598,3.20937,3.21199,3.21415,3.21621,3.21787
3.19965,3.17741,3.17972,3.18403,3.18873,3.19386,3.19912,3.20454,3.20992,3.2162
3.25052,3.23498,3.24484,3.25686,3.26957,3.28269,3.29592,3.30927,3.32253,3.33582
3.35168,3.33362,3.34329,3.35445,3.3649,3.37577,3.38544,3.39444,3.40324,3.4105
3.39535,3.36777,3.36846,3.37057,3.37195,3.37378,3.37462,3.3749,3.37506,3.37435
3.32867,3.3022,3.30113,3.30163,3.30205,3.30291,3.30352,3.30404,3.3045,3.30509
3.22913,3.20826,3.20974,3.21265,3.21562,3.21898,3.22217,3.22533,3.22843,3.2316
3.2363,3.21547,3.21578,3.21736,3.21888,3.22077,3.22235,3.22379,3.22516,3.22649
3.31688,3.29219,3.28887,3.28697,3.2853,3.28401,3.28243,3.28072,3.27891,3.27691
3.34124,3.31923,3.31941,3.32105,3.32282,3.32501,3.32696,3.32882,3.33064,3.33248
3.33589,3.31501,3.31581,3.31804,3.32044,3.32328,3.32596,3.3286,3.33119,3.33405
3.31583,3.2964,3.29755,3.29999,3.30231,3.30499,3.30725,3.30928,3.31123,3.31306
3.30946,3.28749,3.28597,3.28578,3.28561,3.28582,3.2859,3.28597,3.28604,3.2864
3.27234,3.25206,3.24972,3.24864,3.2479,3.24753,3.24699,3.24639,3.24571,3.24516
3.24284,3.22814,3.22798,3.22894,3.23024,3.23185,3.23311,3.23414,3.23504,3.23589
3.26539,3.25463,3.25506,3.25643,3.25869,3.26139,3.26403,3.26657,3.26888,3.2714
3.41575,3.40576,3.40427,3.40379,3.40455,3.40575,3.40668,3.40721,3.40725,3.40745
3.57946,3.57122,3.57143,3.5722,3.57352,3.57508,3.57621,3.57692,3.57726,3.57742
3.71928,3.71532,3.71644,3.71804,3.71986,3.72177,3.72321,3.72422,3.7249,3.72514
3.78949,3.79041,3.79206,3.7938,3.79564,3.79752,3.79912,3.80048,3.80162,3.80241
3.85067,3.85507,3.85732,3.85945,3.86122,3.86329,3.86501,3.86638,3.86749,3.86814
3.88179,3.89319,3.89918,3.90475,3.9101,3.91525,3.92012,3.92471,3.92907,3.93292
3.9082,3.92491,3.93256,3.93958,3.94651,3.9532,3.95969,3.96594,3.97199,3.97752
3.91987,3.93747,3.94632,3.95461,3.96273,3.97064,3.97818,3.98539,3.99239,3.99858
3.94203,3.9599,3.96672,3.97274,3.97864,3.98432,3.98918,3.9936,3.99785,4.00072
3.91981,3.93725,3.94148,3.94493,3.94809,3.95095,3.95302,3.95479,3.95631,3.95668
3.78789,3.80266,3.80546,3.80754,3.80926,3.8107,3.81175,3.81243,3.81298,3.81283
3.64531,3.65727,3.65811,3.65848,3.65886,3.65897,3.65866,3.65864,3.65851,3.6581
3.55809,3.57172,3.57457,3.57689,3.57915,3.58117,3.58296,3.58454,3.58601,3.58691
3.50081,3.51568,3.52038,3.52454,3.52866,3.53255,3.5363,3.53988,3.54335,3.54645
3.47714,3.49336,3.49931,3.50487,3.51052,3.51597,3.52133,3.52655,3.53168,3.53645
3.42305,3.4397,3.44613,3.45223,3.45832,3.46419,3.46987,3.47533,3.48068,3.48569
3.3479,3.36241,3.36836,3.37416,3.38017,3.38602,3.3919,3.39776,3.40355,3.40955
3.29086,3.3026,3.30918,3.31564,3.32197,3.32814,3.33394,3.33931,3.34469,3.34935
3.2165,3.22423,3.22892,3.23347,3.23774,3.2419,3.24572,3.24935,3.25283,3.25581
3.15509,3.16236,3.16631,3.17017,3.17396,3.17765,3.18119,3.18459,3.18795,3.19105
3.09623,3.10373,3.10774,3.11158,3.11531,3.11892,3.12238,3.1257,3.12896,3.13188
3.02819,3.03608,3.04054,3.04488,3.0491,3.0532,3.05715,3.06098,3.06478,3.06831
2.97204,2.9802,2.98657,2.99303,2.99959,3.006,3.01247,3.01893,3.02536,3.03167
2.95295,2.96041,2.96891,2.97763,2.98647,2.99528,3.00412,3.01295,3.02176,3.03066
2.99855,3.00405,3.01316,3.02251,3.03178,3.04106,3.05011,3.05901,3.06784,3.0764
3.0524,3.05773,3.0651,3.07244,3.07951,3.08652,3.09311,3.09942,3.10564,3.11133
3.0545,3.06346,3.06822,3.07263,3.07671,3.08059,3.08406,3.08723,3.0903,3.09273
3.01748,3.02868,3.03171,3.03426,3.03647,3.03842,3.04005,3.04143,3.04273,3.04345
