0,1,2,3,4,5,6,7,8,9
0.35875,0.3568,0.35658,0.35652,0.35649,0.3565,0.35652,0.35657,0.35664,0.35673
0.35981,0.358,0.35773,0.3576,0.35749,0.35741,0.35734,0.35729,0.35724,0.3572
0.36561,0.36382,0.36343,0.36314,0.36289,0.36267,0.36247,0.36228,0.36211,0.36195
0.37576,0.37425,0.374,0.37385,0.37374,0.37366,0.3736,0.37355,0.37351,0.37349
0.38209,0.38091,0.38084,0.38084,0.38088,0.38095,0.38104,0.38115,0.38127,0.38141
0.37787,0.3767,0.37661,0.37661,0.37661,0.37664,0.37668,0.37674,0.37681,0.37692
0.37092,0.36975,0.36973,0.36978,0.36983,0.36991,0.37001,0.37013,0.37025,0.37045
0.36125,0.36017,0.3604,0.36066,0.36089,0.36112,0.36134,0.36159,0.36185,0.36217
0.34582,0.34495,0.34587,0.34655,0.34711,0.34755,0.34792,0.34828,0.3486,0.34905
0.33721,0.33676,0.33925,0.34034,0.34076,0.34108,0.34113,0.34151,0.34192,0.34217
0.33167,0.33188,0.33521,0.33699,0.33731,0.33773,0.33777,0.33761,0.33775,0.33797
0.32223,0.32296,0.32606,0.32814,0.32926,0.33004,0.33051,0.33097,0.33116,0.33155
0.31582,0.31606,0.3171,0.31829,0.31932,0.32024,0.32102,0.32178,0.32249,0.3232
0.31449,0.31471,0.31579,0.31702,0.31809,0.31896,0.31968,0.32037,0.32101,0.32165
0.31375,0.31393,0.3147,0.31556,0.31639,0.31714,0.31778,0.31837,0.31892,0.31943
0.31126,0.31161,0.3123,0.313,0.31373,0.31448,0.31521,0.31592,0.3166,0.31725
0.30519,0.30564,0.3066,0.30725,0.30785,0.30848,0.30911,0.30976,0.31041,0.31106
0.30398,0.30444,0.30575,0.30693,0.30788,0.30868,0.30929,0.30984,0.31032,0.31081
0.30954,0.30989,0.31109,0.31236,0.31336,0.31413,0.31472,0.31527,0.31576,0.31626
0.32996,0.32989,0.33024,0.33065,0.33108,0.33144,0.33168,0.33188,0.33202,0.33216
0.35047,0.35048,0.35137,0.35241,0.35324,0.35376,0.35407,0.35426,0.35447,0.35457
0.35194,0.3522,0.35394,0.35555,0.35665,0.35745,0.35802,0.35853,0.35898,0.3594
0.35173,0.35274,0.35584,0.35841,0.36018,0.36148,0.36246,0.36336,0.36421,0.36497
0.33748,0.33867,0.3422,0.34481,0.34643,0.34768,0.34863,0.34979,0.35052,0.35123
0.3128,0.31458,0.3186,0.32181,0.32389,0.32541,0.32652,0.32753,0.32841,0.32921
0.2868,0.2904,0.29833,0.30277,0.30445,0.30537,0.3064,0.30707,0.30783,0.30823
0.26843,0.27188,0.27771,0.28108,0.28263,0.28373,0.28442,0.28485,0.28537,0.28587
0.26267,0.26666,0.27093,0.27388,0.27569,0.27701,0.27772,0.27857,0.2792,0.27953
0.26372,0.26622,0.26812,0.26954,0.27055,0.27134,0.27194,0.27249,0.27297,0.27337
0.26577,0.26797,0.27011,0.27171,0.27278,0.27358,0.27417,0.2747,0.27519,0.27561
0.27721,0.27876,0.28025,0.28148,0.28244,0.28326,0.28397,0.28464,0.28528,0.28588
0.30033,0.30085,0.30185,0.30268,0.30341,0.3041,0.30472,0.30532,0.30589,0.30644
0.31602,0.31582,0.31644,0.31697,0.31744,0.31791,0.31836,0.31881,0.31924,0.3197
0.32189,0.32108,0.32135,0.32153,0.32166,0.32179,0.32194,0.32212,0.32231,0.32259
0.32542,0.32432,0.32446,0.32459,0.32469,0.3248,0.32491,0.32503,0.32514,0.32534
0.33256,0.33141,0.33137,0.33133,0.3313,0.33129,0.33131,0.33135,0.33141,0.33156
0.33564,0.33467,0.33458,0.33452,0.33446,0.33442,0.3344,0.3344,0.33441,0.33448
0.33405,0.33296,0.33272,0.33254,0.33234,0.33214,0.33195,0.33177,0.3316,0.33149
0.33181,0.33058,0.33021,0.3299,0.32962,0.32935,0.3291,0.32886,0.32861,0.32842
0.33075,0.32992,0.32992,0.32979,0.32964,0.32949,0.32931,0.32913,0.32893,0.32874
0.33098,0.33146,0.33198,0.33205,0.33195,0.33179,0.33161,0.33145,0.3313,0.33117
0.33187,0.33269,0.33328,0.33335,0.33329,0.33319,0.33308,0.33299,0.33291,0.33291
