beat_index,sample,ms,cluster
0,177,590.0,1
1,509,1696.6666666666667,1
2,842,2806.6666666666665,1
3,1169,3896.6666666666665,1
4,1500,5000.0,1
5,1838,6126.666666666667,1
6,2173,7243.333333333333,1
7,2497,8323.333333333334,1
8,2822,9406.666666666666,1
9,3157,10523.333333333334,1
10,3497,11656.666666666666,1
11,3827,12756.666666666666,1
12,4155,13850.0,1
13,4491,14970.0,1
14,4823,16076.666666666668,1
15,5146,17153.333333333332,1
16,5466,18220.0,1
17,5785,19283.333333333336,1
18,6113,20376.666666666664,1
19,6428,21426.666666666664,1
20,6729,22430.0,1
21,7038,23460.0,1
22,7353,24510.0,1
23,7672,25573.333333333336,1
24,7984,26613.333333333332,1
25,8304,27680.0,1
26,8637,28790.0,1
27,8966,29886.666666666668,1
28,9290,30966.666666666664,1
29,9617,32056.666666666664,1
30,9954,33180.0,1
31,10286,34286.66666666667,1
32,10616,35386.666666666664,1
33,10956,36520.0,1
34,11297,37656.666666666664,1
35,11628,38760.0,1
36,11968,39893.33333333333,1
37,12306,41020.0,1
38,12629,42096.666666666664,1
39,12951,43170.0,1
40,13281,44270.0,1
41,13614,45380.0,1
42,13935,46450.0,1
43,14261,47536.66666666667,1
44,14591,48636.666666666664,1
45,14919,49730.0,1
46,15237,50790.0,1
47,15553,51843.333333333336,1
48,15882,52940.0,1
49,16204,54013.333333333336,1
50,16519,55063.333333333336,1
51,16841,56136.666666666664,1
52,17173,57243.333333333336,1
53,17509,58363.333333333336,1
54,17834,59446.666666666664,1
55,18163,60543.333333333336,1
56,18503,61676.66666666667,1
57,18838,62793.333333333336,1
58,19166,63886.666666666664,1
59,19500,65000.0,1
60,19835,66116.66666666666,1
61,20165,67216.66666666667,1
62,20490,68300.0,1
63,20823,69410.0,1
64,21161,70536.66666666666,1
65,21493,71643.33333333333,1
66,21828,72760.0,1
67,22168,73893.33333333333,1
68,22496,74986.66666666667,1
69,22826,76086.66666666667,1
70,23164,77213.33333333334,1
71,23502,78340.0,1
72,23825,79416.66666666667,1
73,24144,80480.0,1
74,24471,81570.0,1
75,24802,82673.33333333333,1
76,25133,83776.66666666667,1
77,25452,84840.0,1
78,25774,85913.33333333333,1
79,26102,87006.66666666666,1
80,26432,88106.66666666667,1
81,26752,89173.33333333333,1
82,27079,90263.33333333333,1
83,27411,91370.0,1
84,27741,92470.0,1
85,28065,93550.0,1
86,28397,94656.66666666667,1
87,28728,95760.0,1
88,29052,96840.0,1
89,29377,97923.33333333333,1
90,29711,99036.66666666666,1
91,30047,100156.66666666667,1
92,30374,101246.66666666667,1
93,30704,102346.66666666666,1
94,31029,103430.0,1
95,31352,104506.66666666666,1
96,31673,105576.66666666667,1
97,32005,106683.33333333334,1
98,32339,107796.66666666667,1
99,32656,108853.33333333334,1
100,32974,109913.33333333333,1
101,33297,110990.0,1
102,33617,112056.66666666667,1
103,33944,113146.66666666666,1
104,34285,114283.33333333333,1
105,34622,115406.66666666667,1
106,34946,116486.66666666667,1
107,35277,117590.0,1
108,35620,118733.33333333333,1
109,35954,119846.66666666666,1
110,36279,120930.0,1
111,36608,122026.66666666667,1
112,36943,123143.33333333333,1
113,37272,124240.0,1
114,37579,125263.33333333333,1
115,37894,126313.33333333333,1
116,38212,127373.33333333333,1
117,38535,128449.99999999999,1
118,38853,129509.99999999999,1
119,39173,130576.66666666666,1
120,39504,131680.0,1
121,39832,132773.33333333334,1
122,40149,133830.0,1
123,40471,134903.33333333334,1
124,40799,135996.66666666666,1
125,41127,137090.0,1
126,41448,138160.0,1
127,41776,139253.33333333334,1
128,42103,140343.33333333334,1
129,42422,141406.66666666666,1
130,42744,142480.0,1
131,43072,143573.3333333333,1
132,43401,144670.0,1
133,43723,145743.33333333334,1
134,44051,146836.6666666667,1
135,44382,147940.0,1
136,44706,149020.0,1
137,45029,150096.66666666666,1
138,45361,151203.33333333334,1
139,45692,152306.6666666667,1
140,46017,153390.0,1
141,46347,154490.0,1
142,46687,155623.33333333334,1
143,47021,156736.6666666667,1
144,47349,157830.0,1
145,47684,158946.66666666666,1
146,48020,160066.66666666666,1
147,48350,161166.66666666666,1
148,48682,162273.33333333334,1
149,49014,163380.0,1
150,49334,164446.66666666666,1
151,49662,165540.0,1
152,49995,166650.0,1
153,50323,167743.33333333334,1
154,50648,168826.66666666666,1
155,50987,169956.6666666667,1
156,51325,171083.33333333334,1
157,51651,172170.0,1
158,51842,172806.6666666667,2
159,52269,174230.0,1
160,52597,175323.3333333333,1
161,52915,176383.3333333333,1
162,53235,177450.0,1
163,53559,178530.0,1
164,53880,179600.0,1
165,54193,180643.33333333334,1
166,54509,181696.66666666666,1
167,54827,182756.66666666666,1
168,55144,183813.33333333334,1
169,55454,184846.66666666666,1
170,55770,185900.0,1
171,56092,186973.33333333334,1
172,56413,188043.3333333333,1
173,56740,189133.3333333333,1
174,57074,190246.66666666666,1
175,57400,191333.33333333334,1
176,57718,192393.33333333334,1
177,58046,193486.6666666667,1
178,58375,194583.33333333334,1
179,58696,195653.33333333334,1
180,59015,196716.66666666666,1
181,59345,197816.66666666666,1
182,59677,198923.33333333334,1
183,60000,200000.0,1
184,60318,201060.0,1
185,60645,202150.0,1
186,60979,203263.3333333333,1
187,61300,204333.33333333334,1
188,61620,205400.0,1
189,61947,206490.0,1
190,62277,207590.0,1
191,62596,208653.33333333334,1
192,62918,209726.66666666666,1
193,63240,210800.0,1
194,63560,211866.6666666667,1
195,63879,212930.0,1
196,64197,213990.0,1
197,64519,215063.33333333334,1
198,64847,216156.66666666666,1
199,65170,217233.3333333333,1
200,65488,218293.3333333333,1
201,65817,219390.0,1
202,66148,220493.33333333334,1
203,66468,221560.0,1
204,66784,222613.33333333334,1
205,67108,223693.3333333333,1
206,67432,224773.33333333334,1
207,67745,225816.66666666666,1
208,68056,226853.3333333333,1
209,68376,227920.0,1
210,68702,229006.66666666666,1
211,69019,230063.33333333334,1
212,69339,231130.0,1
213,69668,232226.66666666666,1
214,69993,233310.0,1
215,70315,234383.3333333333,1
216,70635,235450.0,1
217,70952,236506.66666666666,1
218,71265,237550.0,1
219,71571,238570.0,1
220,71883,239610.0,1
221,72196,240653.33333333334,1
222,72505,241683.33333333334,1
223,72819,242730.0,1
224,73139,243796.66666666666,1
225,73460,244866.6666666667,1
226,73773,245910.0,1
227,74088,246960.0,1
228,74411,248036.66666666666,1
229,74728,249093.33333333334,1
230,75042,250140.0,1
231,75365,251216.66666666666,1
