method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
online,100,single-output,off,2272,90,1,1,3,2,85.36421596915157,1.4227369328191928,85.40914667925048,1.423485777987508,1655.5766006196936,1847.133473355472,1975.3992241275605,320.664376930221,1655.5766006196936,1975.3992241275605,0.0,
offline,100,single-output,off,2272,90,1,1,3,3,220.87571749155487,3.681261958192581,220.89255257283892,3.6815425428806487,3225.681537982772,4061.92486049142,4494.7935622168725,1082.1717543136306,3225.681537982772,4494.7935622168725,0.0,
offline,100,multi-output,off,2272,90,2,2,3,2,63.762121421820815,1.0627020236970135,63.7643163644174,1.0627386060736232,4027.1905261697775,4826.446217363763,5342.364453146253,1289.7955894562251,4027.1905261697775,5342.364453146253,0.0,
offline,100,single-output,on,2272,90,1,1,3,3,531.6433122982761,8.860721871637935,531.6724098596867,8.861206830994778,3929.4080635219166,4235.960713856351,4432.311019197846,490.8757633537372,3929.4080635219166,4432.311019197846,0.0,
offline,100,multi-output,on,2272,90,2,2,3,2,766.0065937997259,12.766776563328765,766.0160302562842,12.766933837604737,3350.964908540096,4370.374318364798,5297.168865433554,2316.9863676718915,3350.964908540096,5297.168865433554,0.0,
online,101,single-output,off,1865,90,1,1,3,2,68.05236313247588,1.1342060522079314,68.08818189991533,1.1348030316652555,1640.7556580599737,1773.9547818711158,1876.0363681140527,255.20396560734383,1640.7556580599737,1876.0363681140527,0.0,
offline,101,single-output,off,1865,90,1,1,3,3,170.16700044615834,2.836116674102639,170.17997052415924,2.8363328420693206,3214.403235768353,3517.1469264864654,3812.185008762992,737.5952056913164,3214.403235768353,3812.185008762992,0.0,
offline,101,multi-output,off,1865,90,2,2,3,2,37.068961088456895,0.6178160181409482,37.070237147657714,0.6178372857942952,4028.380944029473,4308.904451924364,4688.609747213561,949.2632382229938,4028.380944029473,4688.609747213561,0.0,
offline,101,single-output,on,1865,90,1,1,3,3,416.0923078631102,6.934871797718503,416.1150811609218,6.93525135268203,3936.676638376609,3972.874877327312,4117.667833130127,361.9823895070382,3936.676638376609,4117.667833130127,0.0,
offline,101,multi-output,on,1865,90,2,2,3,2,652.2452662059306,10.87075443676551,652.250939442624,10.870848990710401,3347.851948051376,3806.319920457412,4530.646476849038,1810.816390979065,3347.851948051376,4530.646476849038,0.0,
